booking_id,hotel,is_canceled,lead_time,arrival_date,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
BKG1027,Resort Hotel,0,227,2025-02-09,3,2,2,0,0,BB,DEU,Offline TA/TO,GDS,0,0,H,E,0,No Deposit,2,Group,144.56,0,1
BKG1028,Resort Hotel,1,364,2025-06-17,0,1,3,0,0,HB,FRA,Direct,Corporate,0,1,F,F,1,No Deposit,5,Group,93.94,0,3
BKG1029,Resort Hotel,1,215,2025-02-09,0,3,1,0,0,BB,ITA,Corporate,Direct,0,1,G,E,3,Non Refund,2,Transient,106.03,0,3
BKG1030,City Hotel,1,183,2024-12-21,2,1,3,0,0,BB,DEU,Online TA,Direct,0,1,D,F,0,No Deposit,7,Transient-Party,150.5,0,4
BKG1031,City Hotel,0,14,2025-02-28,0,1,2,0,1,FB,PRT,Corporate,GDS,0,0,F,G,0,No Deposit,3,Group,60.8,0,4
BKG1032,Resort Hotel,0,156,2025-02-20,1,4,2,0,0,FB,ESP,Corporate,Corporate,0,1,B,G,1,No Deposit,9,Transient,88.5,2,4
BKG1033,Resort Hotel,0,135,2024-11-23,3,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,H,A,1,No Deposit,5,Group,157.09,0,3
BKG1034,Resort Hotel,0,260,2025-03-04,1,3,3,0,0,BB,GBR,Online TA,TA/TO,0,1,F,H,0,No Deposit,8,Transient,122.0,0,3
BKG1035,City Hotel,0,156,2025-01-26,0,5,2,2,1,BB,ESP,Corporate,Corporate,0,1,H,E,1,No Deposit,1,Transient,110.36,0,1
BKG1036,Resort Hotel,0,46,2024-11-17,2,5,2,0,0,FB,DEU,Corporate,GDS,0,2,C,H,1,No Deposit,1,Transient-Party,72.72,0,2
BKG1037,City Hotel,0,323,2025-04-12,3,1,1,0,1,SC,PRT,Online TA,Direct,0,2,D,F,1,No Deposit,6,Group,116.28,0,4
BKG1038,City Hotel,0,331,2025-02-22,0,4,2,0,1,BB,USA,Offline TA/TO,Corporate,0,2,B,D,1,No Deposit,1,Transient,165.6,0,5
BKG1039,City Hotel,0,172,2024-12-11,0,4,2,0,0,BB,FRA,Corporate,TA/TO,0,0,C,H,1,No Deposit,1,Contract,89.6,0,1
BKG1040,City Hotel,0,129,2024-11-23,2,5,2,0,1,FB,ITA,Direct,TA/TO,0,0,G,F,3,No Deposit,3,Contract,50.81,0,1
BKG1041,City Hotel,0,94,2025-02-09,2,3,2,0,0,BB,ITA,Corporate,TA/TO,0,1,A,G,1,No Deposit,8,Contract,150.28,0,0
BKG1042,Resort Hotel,1,114,2025-06-30,1,2,2,0,0,BB,FRA,Direct,GDS,0,1,E,F,2,No Deposit,7,Transient-Party,195.89,0,4
BKG1043,Resort Hotel,0,242,2025-03-05,3,3,1,0,0,SC,USA,Offline TA/TO,TA/TO,1,1,B,E,0,No Deposit,1,Transient,141.02,0,1
BKG1044,Resort Hotel,0,291,2025-03-30,3,2,1,0,0,BB,GBR,Corporate,Corporate,0,1,D,A,3,No Deposit,7,Transient-Party,67.99,0,0
BKG1045,Resort Hotel,0,281,2025-01-14,2,5,2,0,0,HB,ESP,Online TA,Corporate,1,0,H,A,3,No Deposit,3,Group,98.11,0,5
BKG1046,Resort Hotel,1,298,2025-03-09,1,2,1,0,0,BB,FRA,Online TA,TA/TO,0,1,F,A,1,No Deposit,1,Group,180.15,0,5
BKG1047,City Hotel,0,282,2025-07-22,3,4,1,0,1,BB,USA,Corporate,Corporate,0,1,G,A,0,Non Refund,9,Transient,84.89,2,4
BKG1048,Resort Hotel,0,68,2025-07-29,2,1,1,0,0,FB,DEU,Offline TA/TO,TA/TO,0,2,F,G,2,No Deposit,6,Contract,141.15,0,3
BKG1049,Resort Hotel,0,147,2025-05-25,0,1,4,1,0,BB,ITA,Offline TA/TO,TA/TO,0,1,B,C,1,No Deposit,5,Transient,110.4,0,0
BKG1050,City Hotel,0,10,2025-04-11,3,5,2,0,1,SC,USA,Online TA,Direct,1,1,G,H,0,No Deposit,9,Transient,81.18,0,3
BKG1051,Resort Hotel,0,253,2025-01-20,1,4,2,0,1,BB,GBR,Corporate,GDS,0,1,D,E,1,No Deposit,4,Transient,172.01,1,5
BKG1052,City Hotel,0,329,2024-10-19,1,3,2,0,1,BB,GBR,Offline TA/TO,GDS,0,0,B,B,1,No Deposit,0,Transient-Party,161.42,1,5
BKG1053,Resort Hotel,0,359,2025-05-09,1,4,2,2,0,BB,PRT,Online TA,Direct,0,2,D,E,1,No Deposit,1,Group,149.24,0,2
BKG1054,City Hotel,1,37,2024-08-28,0,1,2,0,1,BB,FRA,Direct,Direct,0,1,F,C,1,No Deposit,7,Transient,85.45,0,2
BKG1055,Resort Hotel,1,133,2025-07-10,3,1,2,0,0,BB,PRT,Corporate,GDS,0,1,C,A,1,No Deposit,0,Transient,64.68,0,2
BKG1056,Resort Hotel,0,199,2024-12-23,3,4,2,0,0,BB,ITA,Direct,TA/TO,0,2,G,C,1,No Deposit,2,Transient,136.42,0,2
BKG1057,City Hotel,0,22,2024-09-02,0,4,2,0,0,BB,USA,Direct,TA/TO,0,1,A,D,1,No Deposit,1,Transient-Party,133.05,0,1
BKG1058,City Hotel,1,302,2024-08-05,3,1,1,0,0,BB,ESP,Offline TA/TO,GDS,0,0,C,D,2,No Deposit,4,Transient-Party,78.26,0,2
BKG1059,City Hotel,0,345,2024-10-24,0,3,2,0,0,HB,ESP,Offline TA/TO,TA/TO,0,1,A,H,3,No Deposit,3,Transient-Party,58.44,0,1
BKG1060,City Hotel,0,301,2024-09-07,0,5,2,1,0,HB,GBR,Offline TA/TO,Direct,0,0,F,G,2,No Deposit,6,Transient,62.11,0,1
BKG1061,City Hotel,0,362,2025-07-19,0,5,2,0,0,HB,ESP,Corporate,TA/TO,0,0,H,E,1,No Deposit,4,Contract,198.92,0,4
BKG1062,City Hotel,0,217,2024-10-05,1,4,1,1,0,BB,ESP,Direct,TA/TO,0,1,G,E,1,No Deposit,7,Contract,167.54,0,1
BKG1063,City Hotel,1,140,2025-03-12,3,5,1,2,0,BB,ITA,Corporate,Corporate,0,2,C,B,2,Non Refund,3,Contract,188.3,1,1
BKG1064,City Hotel,1,103,2025-06-21,0,1,4,0,0,HB,ESP,Offline TA/TO,Corporate,0,0,C,G,2,No Deposit,5,Group,79.26,0,2
BKG1065,Resort Hotel,0,209,2025-05-20,3,1,2,0,0,BB,USA,Direct,Corporate,0,2,B,B,3,No Deposit,3,Transient,194.09,0,1
BKG1066,Resort Hotel,0,110,2025-04-09,1,4,2,0,0,BB,ESP,Corporate,TA/TO,0,1,E,D,2,No Deposit,1,Contract,71.4,0,3
BKG1067,City Hotel,0,103,2025-04-22,0,4,2,0,0,FB,DEU,Corporate,GDS,1,0,F,A,3,No Deposit,0,Contract,126.36,0,2
BKG1068,Resort Hotel,0,315,2025-02-13,2,4,2,0,0,HB,ESP,Online TA,Direct,0,1,D,C,1,No Deposit,0,Contract,174.45,0,0
BKG1069,Resort Hotel,0,170,2025-03-16,1,3,2,2,1,BB,ESP,Corporate,TA/TO,0,2,F,B,0,No Deposit,7,Transient,102.47,0,2
BKG1070,Resort Hotel,0,355,2025-04-01,2,5,2,1,0,BB,PRT,Offline TA/TO,GDS,0,1,D,F,0,No Deposit,3,Contract,113.72,0,1
BKG1071,Resort Hotel,1,323,2024-11-17,3,4,2,0,0,HB,USA,Corporate,TA/TO,0,1,G,B,0,No Deposit,4,Contract,69.23,0,3
BKG1072,City Hotel,0,132,2024-09-14,3,2,2,0,0,BB,GBR,Direct,Direct,0,0,D,A,0,No Deposit,7,Transient,68.44,0,2
BKG1073,Resort Hotel,0,292,2025-03-03,1,2,2,1,0,HB,PRT,Corporate,TA/TO,1,1,H,A,1,Non Refund,6,Group,142.94,1,3
BKG1074,City Hotel,1,327,2024-08-17,3,1,2,2,0,HB,FRA,Online TA,Direct,0,1,A,E,0,No Deposit,7,Transient-Party,151.33,0,0
BKG1075,Resort Hotel,1,126,2024-09-05,2,5,1,1,0,FB,USA,Direct,TA/TO,0,1,D,C,2,No Deposit,7,Contract,166.6,1,5
BKG1076,Resort Hotel,0,105,2025-06-07,0,4,4,0,0,BB,DEU,Direct,Direct,0,0,D,A,2,No Deposit,5,Transient-Party,133.5,0,0
BKG1077,Resort Hotel,0,91,2025-07-22,0,2,2,0,0,BB,USA,Online TA,TA/TO,0,2,B,G,0,No Deposit,9,Group,146.86,0,5
BKG1078,City Hotel,0,286,2025-06-12,0,5,2,0,0,HB,FRA,Offline TA/TO,Direct,0,2,C,B,2,No Deposit,1,Group,52.03,0,4
BKG1079,Resort Hotel,0,50,2025-02-14,1,1,4,0,0,HB,FRA,Direct,Corporate,0,1,F,B,3,No Deposit,5,Contract,74.33,0,5
BKG1080,City Hotel,0,28,2025-04-15,3,3,2,0,0,HB,FRA,Offline TA/TO,TA/TO,0,0,F,D,1,No Deposit,0,Transient,197.74,0,4
BKG1081,Resort Hotel,1,295,2024-11-02,2,5,2,0,0,BB,ITA,Direct,TA/TO,0,1,G,A,0,No Deposit,0,Group,61.4,0,2
BKG1082,City Hotel,0,296,2024-10-17,3,5,2,0,0,BB,GBR,Direct,GDS,0,2,G,F,0,Non Refund,2,Transient-Party,151.82,0,4
BKG1083,Resort Hotel,0,213,2025-01-08,3,3,3,0,0,FB,ESP,Offline TA/TO,GDS,0,0,H,E,1,No Deposit,2,Transient-Party,76.41,0,3
BKG1084,City Hotel,0,266,2024-11-13,3,5,2,0,1,HB,USA,Direct,Direct,0,2,D,C,2,No Deposit,4,Transient-Party,157.51,0,4
BKG1085,City Hotel,0,256,2025-04-09,0,1,2,0,1,SC,ITA,Offline TA/TO,TA/TO,0,2,E,F,1,Non Refund,0,Transient-Party,155.9,1,3
BKG1086,Resort Hotel,1,301,2024-11-28,2,1,2,0,0,HB,ESP,Online TA,Direct,0,0,F,E,1,No Deposit,9,Group,85.13,0,5
BKG1087,City Hotel,1,100,2025-02-16,2,3,3,0,0,BB,ESP,Offline TA/TO,Corporate,0,0,G,B,2,No Deposit,5,Contract,90.45,0,5
BKG1088,Resort Hotel,0,345,2025-05-16,3,4,2,0,0,HB,DEU,Online TA,GDS,0,1,D,F,1,No Deposit,6,Contract,148.22,0,5
BKG1089,Resort Hotel,0,109,2025-03-09,0,2,2,1,0,FB,FRA,Direct,Direct,1,1,G,E,2,No Deposit,9,Transient-Party,108.51,0,4
BKG1090,Resort Hotel,0,181,2024-08-15,0,4,2,0,0,BB,GBR,Offline TA/TO,Direct,0,2,H,B,2,No Deposit,2,Contract,79.18,0,5
BKG1091,Resort Hotel,0,312,2024-10-20,2,5,2,0,1,HB,DEU,Direct,GDS,0,0,A,B,1,No Deposit,3,Transient-Party,159.75,0,4
BKG1092,Resort Hotel,0,0,2024-11-20,0,2,2,0,1,BB,PRT,Offline TA/TO,TA/TO,0,0,A,B,3,No Deposit,9,Transient-Party,73.12,0,4
BKG1093,Resort Hotel,0,318,2025-03-14,0,3,3,2,0,BB,ITA,Online TA,Direct,0,1,G,B,2,No Deposit,9,Transient,178.35,0,1
BKG1094,Resort Hotel,0,54,2024-09-30,0,3,2,0,0,HB,ITA,Online TA,GDS,0,2,A,G,1,No Deposit,9,Group,127.2,2,1
BKG1095,Resort Hotel,0,148,2024-08-06,1,2,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,2,G,B,2,No Deposit,9,Group,65.86,0,4
BKG1096,Resort Hotel,0,308,2025-03-02,3,1,2,0,0,BB,ESP,Online TA,Corporate,0,1,D,D,3,No Deposit,9,Transient-Party,154.11,0,3
BKG1097,Resort Hotel,0,136,2024-09-11,2,2,3,0,0,BB,ITA,Direct,GDS,0,0,B,F,3,No Deposit,2,Group,127.87,0,2
BKG1098,Resort Hotel,0,201,2024-12-29,2,5,2,0,0,BB,GBR,Direct,Direct,0,1,E,E,0,No Deposit,0,Contract,94.71,0,0
BKG1099,City Hotel,0,312,2024-08-20,1,1,2,0,0,BB,ITA,Corporate,Corporate,0,1,D,D,2,No Deposit,7,Transient-Party,113.38,0,1
BKG1100,City Hotel,0,116,2024-09-25,3,3,3,2,0,BB,ITA,Online TA,TA/TO,1,1,B,G,2,No Deposit,9,Transient,94.75,0,4
BKG1101,Resort Hotel,1,153,2024-12-09,2,2,3,0,0,SC,FRA,Direct,TA/TO,0,1,B,H,1,No Deposit,9,Contract,89.45,1,0
BKG1102,Resort Hotel,0,290,2025-04-20,0,4,3,1,1,BB,PRT,Offline TA/TO,GDS,0,0,F,H,2,No Deposit,1,Transient,74.54,0,1
BKG1103,Resort Hotel,0,62,2025-07-17,2,4,3,1,0,BB,FRA,Online TA,GDS,0,1,D,D,0,No Deposit,0,Transient,104.42,0,2
BKG1104,Resort Hotel,0,243,2025-01-29,0,5,2,0,0,BB,PRT,Direct,GDS,0,0,D,A,3,No Deposit,7,Group,87.65,0,3
BKG1105,Resort Hotel,0,24,2024-12-17,1,4,2,2,0,HB,ITA,Online TA,TA/TO,1,1,G,A,3,No Deposit,6,Group,152.52,0,4
BKG1106,Resort Hotel,0,89,2025-04-02,0,2,2,0,0,BB,DEU,Offline TA/TO,Corporate,0,2,B,A,0,No Deposit,6,Transient-Party,152.58,0,2
BKG1107,Resort Hotel,0,74,2025-02-04,2,2,3,0,0,FB,ESP,Direct,TA/TO,0,0,B,C,2,Non Refund,3,Group,125.28,0,1
BKG1108,Resort Hotel,1,293,2025-05-21,2,4,2,0,0,HB,ITA,Corporate,Direct,0,2,B,A,2,No Deposit,8,Transient,166.69,0,4
BKG1109,City Hotel,0,209,2024-11-20,2,2,2,0,0,HB,PRT,Corporate,TA/TO,0,1,G,E,0,No Deposit,5,Transient,176.2,0,0
BKG1110,Resort Hotel,0,346,2025-04-11,1,5,2,0,0,BB,PRT,Online TA,Direct,0,1,F,D,1,No Deposit,1,Contract,136.96,0,5
BKG1111,City Hotel,0,16,2024-09-19,1,1,2,0,1,HB,PRT,Offline TA/TO,Corporate,0,1,D,E,3,Non Refund,0,Transient,142.84,0,3
BKG1112,Resort Hotel,0,127,2025-03-13,3,5,2,0,0,BB,ITA,Direct,GDS,0,0,B,F,0,No Deposit,0,Transient-Party,92.43,0,1
BKG1113,Resort Hotel,0,363,2025-05-27,2,5,4,0,0,SC,GBR,Offline TA/TO,GDS,0,2,A,A,0,No Deposit,8,Transient-Party,184.23,0,3
BKG1114,City Hotel,1,250,2025-04-24,0,2,3,0,0,HB,DEU,Direct,TA/TO,0,0,D,G,2,No Deposit,3,Group,53.63,1,4
BKG1115,Resort Hotel,0,178,2025-03-09,1,1,1,0,0,BB,GBR,Online TA,GDS,0,0,G,C,3,No Deposit,4,Group,102.29,0,5
BKG1116,City Hotel,1,181,2025-06-27,2,2,2,0,0,BB,ESP,Direct,Corporate,0,1,F,F,2,No Deposit,2,Group,158.27,0,2
BKG1117,Resort Hotel,1,151,2024-10-03,2,3,2,0,0,BB,ITA,Offline TA/TO,GDS,0,2,A,G,0,No Deposit,3,Transient-Party,62.01,0,3
BKG1118,Resort Hotel,0,24,2024-08-20,1,2,2,1,0,HB,PRT,Offline TA/TO,TA/TO,0,1,G,C,1,Refundable,7,Transient,77.48,0,0
BKG1119,City Hotel,0,179,2025-03-09,3,2,3,0,0,BB,DEU,Online TA,Corporate,0,0,C,H,3,Refundable,3,Group,138.39,0,1
BKG1120,Resort Hotel,0,197,2025-07-20,1,2,2,1,1,BB,DEU,Offline TA/TO,Direct,0,1,D,F,0,Non Refund,8,Contract,134.0,0,0
BKG1121,City Hotel,0,343,2025-06-11,1,1,2,0,0,BB,USA,Direct,TA/TO,0,2,C,H,0,No Deposit,8,Group,160.84,0,3
BKG1122,Resort Hotel,0,160,2024-08-30,0,2,3,0,0,HB,ESP,Online TA,Direct,0,1,G,D,1,No Deposit,5,Transient-Party,171.89,1,5
BKG1123,City Hotel,0,176,2025-01-08,0,1,2,0,0,FB,DEU,Direct,Corporate,0,2,G,E,0,No Deposit,1,Group,69.29,2,2
BKG1124,City Hotel,0,284,2024-08-09,3,4,2,0,0,HB,ITA,Offline TA/TO,TA/TO,0,2,G,B,0,No Deposit,9,Transient,52.76,0,2
BKG1125,Resort Hotel,0,62,2024-12-29,2,3,2,0,0,HB,PRT,Online TA,TA/TO,0,1,B,E,3,No Deposit,6,Group,153.45,0,0
BKG1126,Resort Hotel,1,149,2025-06-28,1,1,2,1,0,BB,PRT,Direct,Corporate,0,0,F,A,3,No Deposit,8,Transient-Party,95.21,0,4
BKG1127,City Hotel,0,153,2025-03-06,3,4,2,0,0,BB,DEU,Offline TA/TO,GDS,0,1,B,H,3,No Deposit,5,Transient-Party,143.9,0,4
BKG1128,Resort Hotel,1,155,2024-08-25,0,1,2,1,0,HB,GBR,Offline TA/TO,TA/TO,0,0,F,G,2,No Deposit,2,Contract,72.58,0,5
BKG1129,Resort Hotel,0,48,2025-05-21,1,1,2,1,0,BB,ESP,Corporate,TA/TO,0,0,E,B,1,No Deposit,6,Transient-Party,120.36,0,2
BKG1130,Resort Hotel,0,336,2024-12-11,2,3,3,1,0,BB,PRT,Offline TA/TO,Direct,0,1,B,C,3,No Deposit,4,Contract,125.66,0,0
BKG1131,City Hotel,0,83,2025-07-27,0,5,2,2,0,BB,DEU,Direct,GDS,0,0,C,H,2,No Deposit,0,Transient,137.76,0,0
BKG1132,City Hotel,0,360,2024-10-15,0,5,2,0,0,BB,PRT,Online TA,Direct,0,0,F,D,2,No Deposit,2,Transient-Party,126.98,0,0
BKG1133,City Hotel,1,176,2025-04-13,0,1,2,0,0,BB,DEU,Corporate,Direct,0,1,B,D,1,No Deposit,4,Group,124.35,0,3
BKG1134,City Hotel,1,147,2024-08-18,3,2,2,0,1,FB,ESP,Offline TA/TO,GDS,0,1,D,H,1,No Deposit,6,Transient,99.91,0,5
BKG1135,City Hotel,1,117,2025-06-02,2,4,1,0,0,BB,DEU,Offline TA/TO,GDS,0,1,G,H,0,No Deposit,2,Group,60.68,0,4
BKG1136,City Hotel,0,341,2024-12-16,1,2,2,0,0,BB,USA,Offline TA/TO,Corporate,0,0,F,H,2,No Deposit,5,Group,63.43,0,4
BKG1137,City Hotel,0,62,2024-12-11,3,2,2,1,0,BB,DEU,Direct,GDS,0,2,F,C,3,No Deposit,4,Group,115.07,0,3
BKG1138,City Hotel,1,188,2024-09-17,3,1,4,0,0,HB,DEU,Corporate,TA/TO,0,0,B,A,1,No Deposit,0,Transient,103.37,0,1
BKG1139,City Hotel,1,359,2024-08-19,3,1,1,0,0,BB,ITA,Direct,GDS,0,2,E,C,2,No Deposit,9,Transient,127.42,0,3
BKG1140,Resort Hotel,1,48,2025-05-14,0,1,2,0,0,FB,ESP,Corporate,Corporate,0,1,B,F,3,No Deposit,5,Transient-Party,95.73,0,5
BKG1141,City Hotel,0,326,2025-03-22,2,1,3,0,0,FB,ITA,Online TA,Corporate,0,2,H,G,2,Refundable,7,Group,153.19,0,0
BKG1142,Resort Hotel,0,256,2025-05-06,3,5,2,0,0,BB,DEU,Direct,Corporate,1,1,C,H,1,No Deposit,0,Contract,179.59,0,3
BKG1143,Resort Hotel,1,223,2025-07-12,1,1,2,1,0,SC,ESP,Direct,GDS,0,1,C,G,0,Non Refund,1,Transient-Party,94.83,0,0
BKG1144,Resort Hotel,0,140,2025-01-12,2,5,2,0,0,SC,USA,Online TA,GDS,0,2,F,A,2,No Deposit,3,Transient,78.95,0,5
BKG1145,City Hotel,1,214,2024-08-17,1,5,2,0,0,FB,ESP,Corporate,Direct,0,1,F,B,3,No Deposit,1,Contract,67.43,0,5
BKG1146,City Hotel,1,210,2025-05-02,2,1,2,0,0,FB,PRT,Offline TA/TO,Direct,0,2,B,C,1,Non Refund,8,Transient,142.44,0,2
BKG1147,City Hotel,0,317,2024-12-28,1,3,2,0,0,BB,ITA,Online TA,TA/TO,1,1,C,A,0,No Deposit,9,Contract,116.58,0,0
BKG1148,City Hotel,1,31,2025-04-17,0,4,2,0,0,BB,ESP,Offline TA/TO,Direct,0,0,C,G,3,No Deposit,7,Transient-Party,78.2,2,4
BKG1149,Resort Hotel,1,157,2024-11-30,3,2,2,0,0,BB,USA,Offline TA/TO,TA/TO,0,0,E,B,3,No Deposit,7,Contract,147.97,0,3
BKG1150,City Hotel,0,284,2025-03-04,1,5,1,0,0,BB,FRA,Online TA,Corporate,0,1,D,C,3,No Deposit,3,Transient-Party,72.27,0,5
BKG1151,City Hotel,1,304,2024-09-02,2,4,2,0,0,SC,DEU,Corporate,Direct,0,1,E,D,2,Non Refund,4,Transient,133.15,0,0
BKG1152,City Hotel,0,285,2024-09-28,3,3,1,0,0,BB,ESP,Offline TA/TO,GDS,0,2,H,C,1,No Deposit,3,Contract,129.07,0,1
BKG1153,City Hotel,1,143,2025-06-23,3,2,2,0,0,HB,DEU,Online TA,Direct,0,0,A,E,3,No Deposit,8,Group,160.13,0,2
BKG1154,City Hotel,0,18,2024-09-21,2,2,2,0,0,FB,GBR,Direct,TA/TO,1,2,G,C,2,No Deposit,1,Group,58.27,0,1
BKG1155,Resort Hotel,1,17,2024-08-13,1,5,4,0,1,FB,PRT,Direct,Direct,0,1,E,E,1,No Deposit,7,Transient,183.18,0,5
BKG1156,City Hotel,0,256,2025-05-04,0,1,2,0,0,SC,ITA,Direct,Corporate,0,1,H,B,1,No Deposit,1,Contract,155.45,0,1
BKG1157,Resort Hotel,0,77,2025-07-17,0,3,2,2,0,BB,PRT,Online TA,GDS,0,2,B,C,2,No Deposit,0,Group,82.42,0,1
BKG1158,City Hotel,1,174,2024-10-19,1,5,2,0,0,BB,GBR,Direct,TA/TO,0,1,D,B,2,No Deposit,9,Transient-Party,77.51,0,2
BKG1159,Resort Hotel,0,193,2024-12-08,3,3,2,0,0,BB,GBR,Offline TA/TO,GDS,0,0,B,B,3,No Deposit,2,Contract,114.75,2,2
BKG1160,City Hotel,0,112,2025-07-19,3,1,3,0,0,BB,ITA,Direct,GDS,0,2,G,G,1,No Deposit,8,Contract,172.63,0,2
BKG1161,City Hotel,1,113,2025-04-14,3,1,4,0,0,BB,ESP,Direct,TA/TO,0,0,H,A,0,No Deposit,2,Group,176.44,0,2
BKG1162,Resort Hotel,1,221,2025-07-07,3,5,2,0,1,BB,GBR,Offline TA/TO,GDS,0,0,A,B,2,No Deposit,8,Transient-Party,128.07,0,1
BKG1163,Resort Hotel,0,165,2025-04-06,1,1,2,0,0,HB,FRA,Direct,GDS,0,0,D,B,1,No Deposit,6,Transient-Party,179.12,0,4
BKG1164,Resort Hotel,0,318,2025-02-14,3,4,2,2,0,BB,DEU,Offline TA/TO,Direct,1,2,F,G,1,No Deposit,9,Transient-Party,50.82,2,4
BKG1165,City Hotel,0,131,2025-01-02,2,2,3,0,0,BB,DEU,Direct,GDS,0,1,C,G,3,No Deposit,0,Contract,55.28,1,2
